State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Common Pollutant,Pct Good Days,Pct Moderate Days,Pct Unhealthy for Sensitive Groups Days,Pct Unhealthy Days,Pct Very Unhealthy Days,Pct Hazardous Days
Colorado,Jackson,2015,363,347,16,0,0,0,0,93,47,38,0,14,342,0,7,0,Ozone,0.9559228650137741,0.0440771349862259,0.0,0.0,0.0,0.0
Colorado,Jefferson,2015,365,244,104,15,2,0,0,164,84,45,0,0,365,0,0,0,Ozone,0.6684931506849315,0.28493150684931506,0.0410958904109589,0.005479452054794521,0.0,0.0
Colorado,La Plata,2015,365,271,92,2,0,0,0,108,64,43,0,2,363,0,0,0,Ozone,0.7424657534246575,0.25205479452054796,0.005479452054794521,0.0,0.0,0.0
Colorado,Larimer,2015,365,198,150,16,1,0,0,161,80,49,0,0,322,0,43,0,Ozone,0.5424657534246575,0.410958904109589,0.043835616438356165,0.0027397260273972603,0.0,0.0
Colorado,Mesa,2015,365,253,109,3,0,0,0,105,67,45,0,0,291,0,74,0,Ozone,0.6931506849315069,0.29863013698630136,0.00821917808219178,0.0,0.0,0.0
Colorado,Moffat,2015,141,137,4,0,0,0,0,77,46,36,0,0,141,0,0,0,Ozone,0.9716312056737588,0.028368794326241134,0.0,0.0,0.0,0.0
Colorado,Montezuma,2015,365,284,81,0,0,0,0,93,61,44,0,0,364,0,1,0,Ozone,0.7780821917808219,0.2219178082191781,0.0,0.0,0.0,0.0
Colorado,Park,2015,350,266,80,4,0,0,0,112,67,45,0,0,348,0,2,0,Ozone,0.76,0.22857142857142856,0.011428571428571429,0.0,0.0,0.0
Colorado,Pitkin,2015,124,122,2,0,0,0,0,55,28,11,0,0,0,0,34,90,PM10,0.9838709677419355,0.016129032258064516,0.0,0.0,0.0,0.0
Colorado,Prowers,2015,351,339,9,1,0,2,0,299,34,14,0,0,0,0,0,351,PM10,0.9658119658119658,0.02564102564102564,0.002849002849002849,0.0,0.005698005698005698,0.0
Colorado,Pueblo,2015,129,123,6,0,0,0,0,94,34,19,0,0,0,0,89,40,PM2.5,0.9534883720930233,0.046511627906976744,0.0,0.0,0.0,0.0
Colorado,Rio Blanco,2015,365,302,63,0,0,0,0,100,58,43,0,0,321,0,44,0,Ozone,0.8273972602739726,0.1726027397260274,0.0,0.0,0.0,0.0
Colorado,Routt,2015,364,357,7,0,0,0,0,58,32,13,0,0,0,0,0,364,PM10,0.9807692307692307,0.019230769230769232,0.0,0.0,0.0,0.0
Colorado,San Juan,2015,121,121,0,0,0,0,0,48,15,6,0,0,0,0,121,0,PM2.5,1.0,0.0,0.0,0.0,0.0,0.0
Colorado,San Miguel,2015,236,188,47,1,0,0,0,105,58,44,0,0,173,0,0,63,Ozone,0.7966101694915254,0.19915254237288135,0.00423728813559322,0.0,0.0,0.0
Colorado,Weld,2015,365,232,124,9,0,0,0,133,80,47,0,0,334,0,28,3,Ozone,0.6356164383561644,0.33972602739726027,0.024657534246575342,0.0,0.0,0.0
Connecticut,Fairfield,2015,365,214,121,24,6,0,0,177,93,46,2,0,145,0,218,0,PM2.5,0.5863013698630137,0.3315068493150685,0.06575342465753424,0.01643835616438356,0.0,0.0
Connecticut,Hartford,2015,365,223,134,8,0,0,0,147,72,45,0,32,136,0,195,2,PM2.5,0.6109589041095891,0.36712328767123287,0.021917808219178082,0.0,0.0,0.0
Connecticut,Litchfield,2015,365,305,53,7,0,0,0,147,61,39,0,3,292,0,69,1,Ozone,0.8356164383561644,0.14520547945205478,0.019178082191780823,0.0,0.0,0.0
Connecticut,Middlesex,2015,183,134,37,12,0,0,0,147,90,43,0,0,183,0,0,0,Ozone,0.73224043715847,0.20218579234972678,0.06557377049180328,0.0,0.0,0.0
Connecticut,New Haven,2015,365,220,129,13,3,0,0,169,74,45,0,12,184,0,169,0,Ozone,0.6027397260273972,0.35342465753424657,0.03561643835616438,0.00821917808219178,0.0,0.0
Connecticut,New London,2015,359,297,50,11,1,0,0,151,59,36,0,0,167,0,192,0,PM2.5,0.8272980501392758,0.1392757660167131,0.03064066852367688,0.002785515320334262,0.0,0.0
Connecticut,Tolland,2015,183,154,23,6,0,0,0,129,67,39,0,0,183,0,0,0,Ozone,0.8415300546448088,0.12568306010928962,0.03278688524590164,0.0,0.0,0.0
