,Unnamed: 0,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,CountyState Name,Total Population,Total Under 18,Total 18 to 64,Total 65 and over,Total Male,Total Female,Total 16 and Over,Total 16 and Over Employed,InPoverty Population,InPoverty Under 18,InPoverty 18 to 64,InPoverty 65 and Over,InPoverty Male,InPoverty Female,InPoverty 16 and Over,InPoverty 16 and Over Employed,PctBelowPoverty Population,PctBelowPoverty Under 18,PctBelowPoverty 18 to 64,PctBelowPoverty 65 and over,PctBelowPoverty Male,PctBelowPoverty Female,PctBelowPoverty 16 and Over,PctBelowPoverty 16 and Over Employed,State Code,County Code
3133,5445,Delaware,New Castle,2017,365,244,110,11,0,0,0,147,70,44,0,6,200,1,158,0,"New Castle, Delaware",541646,117715,341871,82060.0,260755.0,280891.0,268308,252574,76519,19071,49283,8165.0,33956.0,42563.0,17284,12807,14.1,16.2,14.4,10.0,13.0,15.2,6.4,5.1,10,3
3134,5446,Delaware,Sussex,2017,365,306,58,1,0,0,0,119,57,41,0,0,269,0,96,0,"Sussex, Delaware",221893,41442,121630,58821.0,106881.0,115012.0,104862,100282,26816,9148,13861,3807.0,11004.0,15812.0,6903,5497,12.1,22.1,11.4,6.5,10.3,13.7,6.6,5.5,10,5
3135,5448,Florida,Alachua,2017,355,316,39,0,0,0,0,92,53,37,0,0,218,0,137,0,"Alachua, Florida",254070,47416,170942,35712.0,122572.0,131498.0,131921,125841,55440,8907,42292,4241.0,23612.0,31828.0,18440,15807,21.8,18.8,24.7,11.9,19.3,24.2,14.0,12.6,12,1
3136,5450,Florida,Bay,2017,365,303,62,0,0,0,0,96,57,40,0,0,217,0,148,0,"Bay, Florida",180707,39017,111605,30085.0,89432.0,91275.0,83569,78898,26973,8055,16441,2477.0,11482.0,15491.0,7039,4924,14.9,20.6,14.7,8.2,12.8,17.0,8.4,6.2,12,5
3137,5451,Florida,Brevard,2017,352,315,37,0,0,0,0,97,51,39,0,0,243,0,109,0,"Brevard, Florida",582362,106844,341079,134439.0,284365.0,297997.0,264094,253072,71912,19850,41684,10378.0,30927.0,40985.0,16667,13672,12.3,18.6,12.2,7.7,10.9,13.8,6.3,5.4,12,9
3138,5452,Florida,Broward,2017,357,275,77,5,0,0,0,143,58,43,0,7,126,0,224,0,"Broward, Florida",1917954,405392,1202422,310140.0,934319.0,983635.0,1020799,960563,250511,72414,136500,41597.0,112405.0,138106.0,67485,52862,13.1,17.9,11.4,13.4,12.0,14.0,6.6,5.5,12,11
3139,5453,Florida,Citrus,2017,352,290,62,0,0,0,0,95,57,35,0,0,0,12,340,0,"Citrus, Florida",142931,20993,69869,52069.0,68938.0,73993.0,52652,49897,19487,5488,10343,3656.0,8277.0,11210.0,4255,2979,13.6,26.1,14.8,7.0,12.0,15.2,8.1,6.0,12,17
3140,5454,Florida,Collier,2017,357,324,33,0,0,0,0,93,50,36,0,0,225,0,132,0,"Collier, Florida",368662,63127,188690,116845.0,180160.0,188502.0,164535,158422,44446,16192,22044,6210.0,18955.0,25491.0,13803,12095,12.1,25.6,11.7,5.3,10.5,13.5,8.4,7.6,12,21
3141,5455,Florida,Columbia,2017,363,297,66,0,0,0,0,100,57,38,0,0,196,0,167,0,"Columbia, Florida",65127,15208,37077,12842.0,31898.0,33229.0,27149,24694,8192,1790,4879,1523.0,3418.0,4774.0,1927,1400,12.6,11.8,13.2,11.9,10.7,14.4,7.1,5.7,12,23
3142,5456,Florida,Duval,2017,365,288,76,1,0,0,0,101,59,40,3,8,214,1,139,0,"Duval, Florida",917415,207952,584363,125100.0,441534.0,475881.0,480482,450907,138164,48608,74519,15037.0,58856.0,79308.0,35454,27704,15.1,23.4,12.8,12.0,13.3,16.7,7.4,6.1,12,31
3143,5457,Florida,Escambia,2017,365,318,44,3,0,0,0,115,54,39,0,0,325,0,40,0,"Escambia, Florida",296410,64208,182793,49409.0,144133.0,152277.0,143309,135168,46980,16729,26226,4025.0,22047.0,24933.0,13055,9966,15.8,26.1,14.3,8.1,15.3,16.4,9.1,7.4,12,33
3144,5458,Florida,Flagler,2017,359,345,14,0,0,0,0,93,45,33,0,0,359,0,0,0,"Flagler, Florida",109314,18196,58765,32353.0,52440.0,56874.0,43286,41326,15503,5406,8428,1669.0,7201.0,8302.0,3391,2595,14.2,29.7,14.3,5.2,13.7,14.6,7.8,6.3,12,35
3145,5460,Florida,Highlands,2017,334,319,15,0,0,0,0,90,46,32,0,0,334,0,0,0,"Highlands, Florida",101552,18173,48233,35146.0,47872.0,53680.0,34175,31032,20536,6826,11096,2614.0,9102.0,11434.0,3759,2476,20.2,37.6,23.0,7.4,19.0,21.3,11.0,8.0,12,55
3146,5461,Florida,Hillsborough,2017,359,261,94,4,0,0,0,150,64,44,0,1,192,9,155,2,"Hillsborough, Florida",1386942,315856,876960,194126.0,677448.0,709494.0,715542,679551,215713,68872,123890,22951.0,99448.0,116265.0,64769,52041,15.6,21.8,14.1,11.8,14.7,16.4,9.1,7.7,12,57
3147,5463,Florida,Indian River,2017,302,274,27,1,0,0,0,101,50,38,0,0,302,0,0,0,"Indian River, Florida",153120,25162,79374,48584.0,72686.0,80434.0,64001,60000,13247,2145,7307,3795.0,4176.0,9071.0,2323,1931,8.7,8.5,9.2,7.8,5.7,11.3,3.6,3.2,12,61
3148,5464,Florida,Lake,2017,365,335,28,2,0,0,0,122,49,35,0,0,365,0,0,0,"Lake, Florida",341574,65778,185005,90791.0,165991.0,175583.0,154119,144481,44491,14502,23296,6693.0,21628.0,22863.0,11570,8343,13.0,22.0,12.6,7.4,13.0,13.0,7.5,5.8,12,69
3149,5465,Florida,Lee,2017,363,325,38,0,0,0,0,90,51,37,0,0,269,0,90,4,"Lee, Florida",730723,130957,395063,204703.0,357299.0,373424.0,332440,315420,85034,27303,42984,14747.0,39631.0,45403.0,21918,17327,11.6,20.8,10.9,7.2,11.1,12.2,6.6,5.5,12,71
3150,5466,Florida,Leon,2017,357,262,95,0,0,0,0,87,59,40,0,0,124,0,233,0,"Leon, Florida",277973,53216,188256,36501.0,132877.0,145096.0,157989,146608,50723,7977,41243,1503.0,26230.0,24493.0,23963,18649,18.2,15.0,21.9,4.1,19.7,16.9,15.2,12.7,12,73
