,Unnamed: 0,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,CountyState Name,Total Population,Total Under 18,Total 18 to 64,Total 65 and over,Total Male,Total Female,Total 16 and Over,Total 16 and Over Employed,InPoverty Population,InPoverty Under 18,InPoverty 18 to 64,InPoverty 65 and Over,InPoverty Male,InPoverty Female,InPoverty 16 and Over,InPoverty 16 and Over Employed,PctBelowPoverty Population,PctBelowPoverty Under 18,PctBelowPoverty 18 to 64,PctBelowPoverty 65 and over,PctBelowPoverty Male,PctBelowPoverty Female,PctBelowPoverty 16 and Over,PctBelowPoverty 16 and Over Employed,State Code,County Code
58,94,California,Shasta,2012,366,262,98,5,1,0,0,172,77,44,0,0,356,0,10,0,"Shasta, California",175830,37815,87215,,6015.0,,9352,5518,29131,9103,12503,,719.0,,2261,1669,16.6,24.1,14.3,,12.0,,24.2,30.2,6,89
59,96,California,Solano,2012,366,264,97,5,0,0,0,140,65,41,0,8,231,0,127,0,"Solano, California",407797,96730,198183,51766.0,,63999.0,28552,15622,59515,19128,25554,11436.0,,6741.0,9666,4734,14.6,19.8,12.9,22.1,,10.5,33.9,30.3,6,95
60,97,California,Sonoma,2012,366,306,60,0,0,0,0,80,56,37,0,7,205,0,154,0,"Sonoma, California",485037,103288,237875,7688.0,,19444.0,24282,13643,58686,15352,27188,974.0,,2875.0,5592,3093,12.1,14.9,11.4,12.7,,14.8,23.0,22.7,6,97
61,98,California,Stanislaus,2012,366,123,164,67,11,1,0,201,125,63,0,1,202,0,162,1,"Stanislaus, California",515955,143138,253629,13979.0,,27386.0,42005,21318,104559,39647,46256,2064.0,,7281.0,13904,6108,20.3,27.7,18.2,14.8,,26.6,33.1,28.7,6,99
62,99,California,Sutter,2012,366,203,146,17,0,0,0,150,84,48,0,10,232,0,123,1,"Sutter, California",93951,25141,46631,,,13893.0,5518,3085,19255,5883,7602,,,3632.0,1963,813,20.5,23.4,16.3,,,26.1,35.6,26.4,6,101
63,102,California,Tulare,2012,366,91,137,98,40,0,0,195,151,80,0,0,243,0,122,1,"Tulare, California",444186,141562,221949,6388.0,5051.0,15248.0,26703,15185,135194,59340,67232,2897.0,2410.0,4507.0,11830,6632,30.4,41.9,30.3,45.4,47.7,29.6,44.3,43.7,6,107
64,104,California,Ventura,2012,366,156,178,31,1,0,0,154,97,54,0,4,247,0,114,1,"Ventura, California",824845,205117,409099,16071.0,4072.0,56612.0,43707,22370,94910,36368,43441,4023.0,1086.0,3108.0,9208,3879,11.5,17.7,10.6,25.0,26.7,5.5,21.1,17.3,6,111
65,105,California,Yolo,2012,366,249,109,8,0,0,0,133,74,44,0,0,256,0,110,0,"Yolo, California",195808,42913,95401,,,25621.0,11012,5818,35278,7019,16756,,,9723.0,3243,1929,18.0,16.4,17.6,,,37.9,29.4,33.2,6,113
66,106,Colorado,Adams,2012,366,227,131,7,1,0,0,154,76,48,0,98,195,1,24,48,"Adams, Colorado",453179,126844,226727,14517.0,3538.0,16767.0,20600,10272,67417,28098,30886,6420.0,804.0,1947.0,5516,2501,14.9,22.2,13.6,44.2,22.7,11.6,26.8,24.3,8,1
67,108,Colorado,Arapahoe,2012,365,201,140,22,2,0,0,172,93,48,0,0,356,0,9,0,"Arapahoe, Colorado",589986,145798,289908,61268.0,4589.0,31591.0,27397,15832,70792,22817,34189,15373.0,1290.0,3068.0,8728,4848,12.0,15.6,11.8,25.1,28.1,9.7,31.9,30.6,8,5
68,110,Colorado,Boulder,2012,359,191,133,31,4,0,0,172,100,48,0,0,337,0,19,3,"Boulder, Colorado",295728,61700,149087,,,13810.0,10580,5112,42978,7703,20375,,,1596.0,2823,1119,14.5,12.5,13.7,,,11.6,26.7,21.9,8,13
69,114,Colorado,Denver,2012,366,163,187,14,2,0,0,166,84,52,0,140,169,7,37,13,"Denver, Colorado",622622,137095,311716,62947.0,5748.0,20926.0,25561,13926,119662,39489,59398,22287.0,2092.0,4785.0,9998,5922,19.2,28.8,19.1,35.4,36.4,22.9,39.1,42.5,8,31
70,115,Colorado,Douglas,2012,348,192,120,32,4,0,0,182,101,48,0,0,333,0,15,0,"Douglas, Colorado",296854,86082,146977,,,,8455,4652,13900,3807,6407,,,,1360,866,4.7,4.4,4.4,,,,16.1,18.6,8,35
71,116,Colorado,El Paso,2012,366,210,136,20,0,0,0,129,90,48,0,0,363,0,2,1,"El Paso, Colorado",626467,160759,310783,40008.0,,16407.0,28935,14696,81030,28856,37262,10231.0,,970.0,6438,3062,12.9,17.9,12.0,25.6,,5.9,22.2,20.8,8,41
72,121,Colorado,Jefferson,2012,366,201,113,48,4,0,0,190,108,48,0,0,366,0,0,0,"Jefferson, Colorado",534953,113734,264338,5807.0,4873.0,13445.0,22231,12675,49104,14950,22040,2005.0,1886.0,740.0,4978,2419,9.2,13.1,8.3,34.5,38.7,5.5,22.4,19.1,8,59
73,123,Colorado,Larimer,2012,366,166,150,45,5,0,0,172,105,54,0,0,356,0,8,2,"Larimer, Colorado",302392,63527,150752,,,5682.0,13010,7024,42316,8185,18334,,,1018.0,4527,2362,14.0,12.9,12.2,,,17.9,34.8,33.6,8,69
74,124,Colorado,Mesa,2012,366,200,155,11,0,0,0,122,87,48,0,0,340,0,17,9,"Mesa, Colorado",144569,33439,73093,,,,6672,4117,23285,7793,11036,,,,2242,1128,16.1,23.3,15.1,,,,33.6,27.4,8,77
75,130,Colorado,Pueblo,2012,133,127,6,0,0,0,0,80,44,24,0,0,0,0,88,45,"Pueblo, Colorado",156967,37695,76437,2721.0,2826.0,,8294,4059,31445,11521,14461,1036.0,1075.0,,2630,1120,20.0,30.6,18.9,38.1,38.0,,31.7,27.6,8,101
76,136,Colorado,Weld,2012,366,204,142,18,2,0,0,161,90,48,2,0,336,0,26,2,"Weld, Colorado",255850,70757,127350,,,3692.0,9807,5908,37734,13881,17467,,,519.0,2780,1684,14.7,19.6,13.7,,,14.1,28.3,28.5,8,123
77,137,Connecticut,Fairfield,2012,366,236,101,19,10,0,0,179,90,44,0,19,173,0,173,1,"Fairfield, Connecticut",915813,222583,447272,101207.0,,46487.0,47176,25229,81629,24454,35622,21673.0,,1036.0,11378,5372,8.9,11.0,8.0,21.4,,2.2,24.1,21.3,9,1
78,138,Connecticut,Hartford,2012,366,246,109,10,1,0,0,164,71,42,1,6,91,0,268,0,"Hartford, Connecticut",872655,196431,420028,113234.0,,39873.0,49528,27620,108751,33775,48937,28192.0,,2937.0,13876,7535,12.5,17.2,11.7,24.9,,7.4,28.0,27.3,9,3
79,139,Connecticut,Litchfield,2012,363,293,64,6,0,0,0,129,64,40,0,1,273,0,89,0,"Litchfield, Connecticut",185134,37997,91934,,,,8851,4594,11916,2745,5495,,,,1572,834,6.4,7.2,6.0,,,,17.8,18.2,9,5
80,140,Connecticut,Middlesex,2012,179,129,35,13,2,0,0,182,100,44,0,0,179,0,0,0,"Middlesex, Connecticut",160461,32882,77642,8900.0,,,6119,3732,9070,2161,4016,2215.0,,,1139,622,5.7,6.6,5.2,24.9,,,18.6,16.7,9,7
81,141,Connecticut,New Haven,2012,366,209,131,19,7,0,0,187,80,48,0,3,147,1,215,0,"New Haven, Connecticut",838123,185325,403658,106698.0,,31042.0,52231,28501,113308,39870,47995,28591.0,,2136.0,14470,6653,13.5,21.5,11.9,26.8,,6.9,27.7,23.3,9,9
82,142,Connecticut,New London,2012,339,227,98,10,4,0,0,197,67,43,0,0,144,0,195,0,"New London, Connecticut",262896,56637,129849,13616.0,,,12940,7455,24105,7710,10281,2408.0,,,2507,1220,9.2,13.6,7.9,17.7,,,19.4,16.4,9,11
83,143,Connecticut,Tolland,2012,181,125,37,17,2,0,0,177,101,44,0,0,181,0,0,0,"Tolland, Connecticut",136240,27973,67648,,,,5478,2961,9550,1835,4058,,,,1042,586,7.0,6.6,6.0,,,,19.0,19.8,9,13
84,144,Connecticut,Windham,2012,358,317,32,9,0,0,0,147,54,34,0,0,358,0,0,0,"Windham, Connecticut",112856,24952,55742,,,,5588,2969,14061,3986,6185,,,,1420,561,12.5,16.0,11.1,,,,25.4,18.9,9,15
85,147,Delaware,Kent,2012,342,243,78,17,4,0,0,182,80,41,0,0,258,0,84,0,"Kent, Delaware",162155,39428,78617,37977.0,,,8812,4405,19330,7450,8628,7438.0,,,2326,920,11.9,18.9,11.0,19.6,,,26.4,20.9,10,1
86,148,Delaware,New Castle,2012,366,187,159,18,2,0,0,151,84,49,0,4,169,3,190,0,"New Castle, Delaware",529630,122102,255799,126476.0,,24804.0,23880,13220,57411,16163,22795,21375.0,,1688.0,5050,1898,10.8,13.2,8.9,16.9,,6.8,21.1,14.4,10,3
87,149,Delaware,Sussex,2012,366,282,66,14,4,0,0,200,74,40,0,2,336,0,28,0,"Sussex, Delaware",198953,39314,96043,24432.0,,,8236,4305,30566,11262,13456,5801.0,,,2570,1170,15.4,28.6,14.0,23.7,,,31.2,27.2,10,5
88,151,Florida,Alachua,2012,363,317,43,1,2,0,0,157,51,36,0,0,262,0,101,0,"Alachua, Florida",238222,44002,116291,46989.0,,12701.0,9511,6203,66099,12938,31455,19272.0,,2928.0,4583,2672,27.7,29.4,27.0,41.0,,23.1,48.2,43.1,12,1
89,153,Florida,Bay,2012,366,302,64,0,0,0,0,100,60,38,0,0,239,0,127,0,"Bay, Florida",168972,36645,82825,17741.0,,,9464,5063,27335,8943,11711,4832.0,,,3151,1614,16.2,24.4,14.1,27.2,,,33.3,31.9,12,5
90,154,Florida,Brevard,2012,366,298,65,3,0,0,0,122,58,40,0,0,239,0,127,0,"Brevard, Florida",540315,103273,264170,54021.0,,11849.0,34751,19475,79606,24162,35761,16809.0,,1799.0,9988,5058,14.7,23.4,13.5,31.1,,15.2,28.7,26.0,12,9
91,155,Florida,Broward,2012,366,296,69,1,0,0,0,147,58,38,0,9,204,1,152,0,"Broward, Florida",1801389,388460,874046,489167.0,,59999.0,116649,60820,271736,81408,126191,112602.0,,5646.0,36376,17432,15.1,21.0,14.4,23.0,,9.4,31.2,28.7,12,11
92,156,Florida,Citrus,2012,121,115,6,0,0,0,0,85,44,27,0,0,0,0,121,0,"Citrus, Florida",136412,21160,64247,4284.0,,,8057,3393,25691,7723,11581,2281.0,,,3405,1356,18.8,36.5,18.0,53.2,,,42.3,40.0,12,17
93,157,Florida,Collier,2012,365,319,46,0,0,0,0,84,54,37,0,0,214,0,151,0,"Collier, Florida",328790,61921,161725,21103.0,,,12725,7103,45297,13775,20568,7617.0,,,5215,2924,13.8,22.2,12.7,36.1,,,41.0,41.2,12,21
94,158,Florida,Columbia,2012,365,316,47,1,1,0,0,153,54,36,0,0,271,0,94,0,"Columbia, Florida",63449,14845,30865,10302.0,,,6235,3267,15404,5382,7440,3293.0,,,3382,1961,24.3,36.3,24.1,32.0,,,54.2,60.0,12,23
95,159,Florida,Duval,2012,366,308,55,2,1,0,0,165,54,38,0,1,241,6,116,2,"Duval, Florida",860581,199915,414822,245358.0,,37571.0,54080,28038,155778,54157,66300,71809.0,,5114.0,22393,9383,18.1,27.1,16.0,29.3,,13.6,41.4,33.5,12,31
96,160,Florida,Escambia,2012,366,283,79,4,0,0,0,115,67,41,0,0,227,1,138,0,"Escambia, Florida",283138,61449,137715,60292.0,,8691.0,14737,7949,48510,16157,22517,14275.0,,1663.0,6034,2795,17.1,26.3,16.4,23.7,,19.1,40.9,35.2,12,33
97,161,Florida,Flagler,2012,356,329,25,2,0,0,0,112,47,35,0,0,356,0,0,0,"Flagler, Florida",97650,18287,46042,11771.0,,,4746,2249,18105,5324,7098,4555.0,,,1466,766,18.5,29.1,15.4,38.7,,,30.9,34.1,12,35
98,163,Florida,Highlands,2012,352,337,15,0,0,0,0,84,47,34,0,0,352,0,0,0,"Highlands, Florida",97072,17726,46177,9983.0,,,5541,2557,21347,6729,9609,4875.0,,,2555,1302,22.0,38.0,20.8,48.8,,,46.1,50.9,12,55
99,164,Florida,Hillsborough,2012,366,241,107,18,0,0,0,147,74,45,0,0,169,22,175,0,"Hillsborough, Florida",1258568,292804,614129,209929.0,,43697.0,70075,36636,242003,79701,113439,66098.0,,5099.0,28301,14682,19.2,27.2,18.5,31.5,,11.7,40.4,40.1,12,57
100,166,Florida,Indian River,2012,358,324,33,1,0,0,0,105,50,37,0,0,358,0,0,0,"Indian River, Florida",138273,24317,65136,12305.0,,,10266,5220,23747,6044,10658,4643.0,,,4531,2355,17.2,24.9,16.4,37.7,,,44.1,45.1,12,61
101,167,Florida,Lake,2012,362,332,29,1,0,0,0,101,48,35,0,0,362,0,0,0,"Lake, Florida",298952,60314,143421,29183.0,,,16451,7717,47584,16447,22998,5171.0,,,5401,1846,15.9,27.3,16.0,17.7,,,32.8,23.9,12,69
102,168,Florida,Lee,2012,366,315,51,0,0,0,0,97,52,38,0,0,256,0,108,2,"Lee, Florida",636067,120723,312392,51495.0,,11165.0,35685,20969,97210,31043,43814,12975.0,,1908.0,11333,5771,15.3,25.7,14.0,25.2,,17.1,31.8,27.5,12,71
103,169,Florida,Leon,2012,366,271,91,4,0,0,0,147,62,40,0,0,169,0,197,0,"Leon, Florida",271513,51952,130605,82693.0,,8812.0,16865,8327,58785,9270,27823,25789.0,,1680.0,8928,3849,21.7,17.8,21.3,31.2,,19.1,52.9,46.2,12,73
104,171,Florida,Manatee,2012,366,337,28,1,0,0,0,101,50,36,0,0,366,0,0,0,"Manatee, Florida",330168,66246,159106,28465.0,,6117.0,15605,7853,51002,15925,22531,7303.0,,1583.0,5733,2553,15.4,24.0,14.2,25.7,,25.9,36.7,32.5,12,81
105,172,Florida,Marion,2012,366,297,69,0,0,0,0,84,56,39,0,0,187,0,179,0,"Marion, Florida",326435,61784,156295,38716.0,,,18163,9785,59762,20726,26664,10824.0,,,7568,3554,18.3,33.5,17.1,28.0,,,41.7,36.3,12,83
106,173,Florida,Martin,2012,365,305,59,1,0,0,0,122,56,39,0,0,230,0,135,0,"Martin, Florida",145618,25195,70627,8216.0,,,9448,5428,21892,6630,10957,4246.0,,,3074,1966,15.0,26.3,15.5,51.7,,,32.5,36.2,12,85
107,174,Florida,Miami-Dade,2012,366,270,94,2,0,0,0,136,63,43,0,2,140,0,224,0,"Miami-Dade, Florida",2551967,540368,1234660,475276.0,,41765.0,156473,81347,530220,159878,235993,156348.0,,7446.0,61021,28630,20.8,29.6,19.1,32.9,,17.8,39.0,35.2,12,86
108,175,Florida,Nassau,2012,361,342,17,2,0,0,0,119,37,4,0,0,0,361,0,0,"Nassau, Florida",72877,14508,36086,,,,3658,1780,11289,3363,4926,,,,1040,313,15.5,23.2,13.7,,,,28.4,17.6,12,89
109,176,Florida,Okaloosa,2012,366,334,32,0,0,0,0,87,50,33,0,0,366,0,0,0,"Okaloosa, Florida",184163,41123,91241,15175.0,,6432.0,6933,3639,25349,9697,10688,4536.0,,335.0,2408,1403,13.8,23.6,11.7,29.9,,5.2,34.7,38.6,12,91
110,177,Florida,Orange,2012,366,309,51,6,0,0,0,140,58,39,0,1,229,0,136,0,"Orange, Florida",1174247,275740,574567,248897.0,,56956.0,73664,38384,212476,74923,93910,66621.0,,6754.0,25293,12195,18.1,27.2,16.3,26.8,,11.9,34.3,31.8,12,95
111,178,Florida,Osceola,2012,354,327,27,0,0,0,0,97,49,35,0,0,354,0,0,0,"Osceola, Florida",284334,72440,140780,34269.0,,,17629,10450,56705,20260,26036,10353.0,,,5465,2893,19.9,28.0,18.5,30.2,,,31.0,27.7,12,97
112,179,Florida,Palm Beach,2012,366,289,75,2,0,0,0,105,61,41,0,0,224,0,138,4,"Palm Beach, Florida",1338251,270326,645275,234350.0,,34026.0,70546,39447,191948,60765,85883,62744.0,,3077.0,22377,11420,14.3,22.5,13.3,26.8,,9.0,31.7,29.0,12,99
113,180,Florida,Pasco,2012,366,325,41,0,0,0,0,100,51,38,0,0,366,0,0,0,"Pasco, Florida",462795,96050,225177,20907.0,,11046.0,22613,13033,59449,15080,26484,3298.0,,1835.0,6841,4005,12.8,15.7,11.8,15.8,,16.6,30.3,30.7,12,101
114,181,Florida,Pinellas,2012,366,293,72,1,0,0,0,108,59,41,0,0,197,0,169,0,"Pinellas, Florida",907779,158227,434624,92477.0,,27849.0,45342,26450,124761,31960,58118,31043.0,,3129.0,15367,9426,13.7,20.2,13.4,33.6,,11.2,33.9,35.6,12,103
115,182,Florida,Polk,2012,366,283,78,4,1,0,0,154,61,41,0,0,198,0,168,0,"Polk, Florida",600528,140305,290459,89005.0,,10315.0,37306,22195,107634,37454,48297,28019.0,,1936.0,14802,8755,17.9,26.7,16.6,31.5,,18.8,39.7,39.4,12,105
116,183,Florida,Putnam,2012,364,360,4,0,0,0,0,72,27,17,0,0,0,31,0,333,"Putnam, Florida",72086,16041,35421,12412.0,,,3483,1446,17876,6479,8155,6054.0,,,1095,602,24.8,40.4,23.0,48.8,,,31.4,41.6,12,107
117,184,Florida,Santa Rosa,2012,366,275,90,1,0,0,0,101,64,40,0,0,214,0,152,0,"Santa Rosa, Florida",153546,35366,76739,,,,6072,3223,18279,6738,8303,,,,2275,1243,11.9,19.1,10.8,,,,37.5,38.6,12,113
118,185,Florida,Sarasota,2012,366,254,109,3,0,0,0,119,66,44,0,0,193,0,173,0,"Sarasota, Florida",380119,57803,181205,18008.0,,,19630,10684,47125,11859,21402,4718.0,,,4994,2607,12.4,20.5,11.8,26.2,,,25.4,24.4,12,115
119,186,Florida,Seminole,2012,359,319,36,4,0,0,0,112,52,36,0,0,321,0,22,16,"Seminole, Florida",427190,93532,206738,48097.0,,18299.0,24810,12687,53160,13188,24905,11873.0,,2683.0,6908,4048,12.4,14.1,12.0,24.7,,14.7,27.8,31.9,12,117
120,187,Florida,St. Lucie,2012,359,330,28,1,0,0,0,101,48,36,0,0,359,0,0,0,"St. Lucie, Florida",281360,60496,136405,53179.0,,,18713,8785,48445,17432,22250,13998.0,,,5603,2194,17.2,28.8,16.3,26.3,,,29.9,25.0,12,111
121,188,Florida,Volusia,2012,366,307,58,1,0,0,0,101,55,39,0,0,211,0,155,0,"Volusia, Florida",486465,89959,235949,51235.0,,7642.0,22035,12418,96125,30088,44192,19549.0,,1417.0,7147,3368,19.8,33.4,18.7,38.2,,18.5,32.4,27.1,12,127
122,190,Georgia,Bibb,2012,366,214,148,4,0,0,0,147,69,47,0,0,105,2,259,0,"Bibb, Georgia",149993,39251,70504,80190.0,,,7810,3985,40729,16315,15642,30966.0,,,3826,1637,27.2,41.6,22.2,38.6,,,49.0,41.1,13,21
123,192,Georgia,Chatham,2012,366,232,126,8,0,0,0,124,68,44,0,0,89,76,201,0,"Chatham, Georgia",265833,60883,127300,105061.0,,7111.0,12556,6862,52499,19486,22404,31320.0,,718.0,4180,2263,19.7,32.0,17.6,29.8,,10.1,33.3,33.0,13,51
124,194,Georgia,Clarke,2012,366,247,113,5,1,0,0,153,67,43,0,0,140,0,226,0,"Clarke, Georgia",109825,21107,52373,30567.0,,,5821,3414,37221,5548,17763,10559.0,,,3111,2040,33.9,26.3,33.9,34.5,,,53.4,59.8,13,59
125,195,Georgia,Clayton,2012,116,75,41,0,0,0,0,74,60,44,0,0,0,0,116,0,"Clayton, Georgia",260976,74361,122981,171166.0,,13233.0,22025,9408,76896,31986,35865,52048.0,,1925.0,9440,3754,29.5,43.0,29.2,30.4,,14.5,42.9,39.9,13,63
126,196,Georgia,Cobb,2012,360,218,133,8,1,0,0,154,67,46,0,0,147,0,213,0,"Cobb, Georgia",695283,175357,336589,177591.0,,32347.0,36532,17124,94896,35323,42331,33261.0,,4150.0,12152,4910,13.6,20.1,12.6,18.7,,12.8,33.3,28.7,13,67
127,198,Georgia,Columbia,2012,240,194,42,3,1,0,0,151,64,43,0,0,240,0,0,0,"Columbia, Georgia",130989,34418,63423,22535.0,,5656.0,5548,3603,15768,4840,6786,3034.0,,1372.0,1336,909,12.0,14.1,10.7,13.5,,24.3,24.1,25.2,13,73
128,199,Georgia,Coweta,2012,364,277,86,1,0,0,0,112,57,41,0,0,83,0,281,0,"Coweta, Georgia",130400,34413,64242,24600.0,,,6985,4658,17331,6975,7113,5946.0,,,1798,923,13.3,20.3,11.1,24.2,,,25.7,19.8,13,77
129,201,Georgia,DeKalb,2012,366,145,208,10,3,0,0,185,74,56,0,12,94,0,260,0,"DeKalb, Georgia",693646,167835,332664,376752.0,,34678.0,47919,24356,144538,55712,64382,85567.0,,12397.0,19151,8279,20.8,33.2,19.4,22.7,,35.7,40.0,34.0,13,89
130,202,Georgia,Dougherty,2012,360,254,104,2,0,0,0,124,63,38,0,0,0,0,359,1,"Dougherty, Georgia",90681,23792,42137,60677.0,,,8170,3425,31347,11163,14181,27765.0,,,5311,1612,34.6,46.9,33.7,45.8,,,65.0,47.1,13,95
131,203,Georgia,Douglas,2012,238,174,58,6,0,0,0,133,74,43,0,0,238,0,0,0,"Douglas, Georgia",132509,36642,62795,54032.0,,,7023,4076,20539,9201,8984,10278.0,,,1984,1222,15.5,25.1,14.3,19.0,,,28.3,30.0,13,97
132,204,Georgia,Floyd,2012,366,48,315,3,0,0,0,139,82,64,0,0,0,9,357,0,"Floyd, Georgia",92236,22499,45077,13603.0,,,6006,2835,22067,6983,9825,4163.0,,,2501,823,23.9,31.0,21.8,30.6,,,41.6,29.0,13,115
133,205,Georgia,Fulton,2012,366,197,153,12,4,0,0,190,76,48,0,0,133,0,232,1,"Fulton, Georgia",948111,227000,458201,419304.0,,53202.0,60267,28492,173943,56850,77417,121167.0,,4741.0,23719,11254,18.3,25.0,16.9,28.9,,8.9,39.4,39.5,13,121
134,206,Georgia,Glynn,2012,359,347,12,0,0,0,0,87,45,30,0,0,215,99,38,7,"Glynn, Georgia",78953,18675,38163,18945.0,,,4364,2082,15148,5638,6560,7141.0,,,1695,693,19.2,30.2,17.2,37.7,,,38.8,33.3,13,127
135,207,Georgia,Gwinnett,2012,363,231,125,6,1,0,0,169,68,45,0,0,144,0,219,0,"Gwinnett, Georgia",836907,237335,410113,205234.0,,91974.0,40795,21895,124208,49591,58921,33637.0,,12144.0,11884,7452,14.8,20.9,14.4,16.4,,13.2,29.1,34.0,13,135
136,208,Georgia,Hall,2012,328,210,118,0,0,0,0,75,60,45,0,0,0,0,328,0,"Hall, Georgia",182805,50262,92364,13155.0,,3364.0,8139,4739,37000,16137,17360,4443.0,,1050.0,2606,1065,20.2,32.1,18.8,33.8,,31.2,32.0,22.5,13,139
137,209,Georgia,Henry,2012,355,238,106,5,5,1,0,218,67,43,0,0,134,0,221,0,"Henry, Georgia",207220,56864,99310,75701.0,,,12761,6913,31233,15201,14693,11744.0,,,3185,1161,15.1,26.7,14.8,15.5,,,25.0,16.8,13,151
138,210,Georgia,Houston,2012,330,217,112,1,0,0,0,142,60,43,0,0,0,0,330,0,"Houston, Georgia",144513,37799,69170,41761.0,,,8778,5028,26938,11153,10910,11784.0,,,2125,1175,18.6,29.5,15.8,28.2,,,24.2,23.4,13,153
139,211,Georgia,Lowndes,2012,345,167,176,2,0,0,0,132,63,51,0,0,0,0,345,0,"Lowndes, Georgia",111064,26538,54115,40198.0,,,8006,4064,27240,8313,13025,14612.0,,,3983,1881,24.5,31.3,24.1,36.4,,,49.8,46.3,13,185
140,213,Georgia,Muscogee,2012,366,256,108,2,0,0,0,104,66,43,0,0,130,0,235,1,"Muscogee, Georgia",187296,50018,87970,85561.0,,,8902,3996,33588,12483,13706,23491.0,,,2799,1340,17.9,25.0,15.6,27.5,,,31.4,33.5,13,215
141,214,Georgia,Paulding,2012,366,201,159,6,0,0,0,133,68,48,1,2,89,0,274,0,"Paulding, Georgia",143721,41805,70480,25075.0,,,8591,4796,20706,7257,8654,5115.0,,,2150,1479,14.4,17.4,12.3,20.4,,,25.0,30.8,13,223
142,216,Georgia,Richmond,2012,359,230,124,5,0,0,0,143,65,44,0,0,114,0,245,0,"Richmond, Georgia",194763,48888,92212,107279.0,,,8658,4354,51371,22454,22274,32594.0,,,4264,1804,26.4,45.9,24.2,30.4,,,49.2,41.4,13,245
143,217,Georgia,Rockdale,2012,361,282,64,13,2,0,0,179,71,36,0,118,243,0,0,0,"Rockdale, Georgia",84994,22056,39757,40075.0,,,5877,2910,15407,6349,6924,9328.0,,,1688,639,18.1,28.8,17.4,23.3,,,28.7,22.0,13,247
144,219,Georgia,Walker,2012,329,199,129,1,0,0,0,122,65,46,0,0,0,0,329,0,"Walker, Georgia",66249,15032,32497,,,,2900,1451,13603,3585,6341,,,,1268,510,20.5,23.8,19.5,,,,43.7,35.1,13,295
145,222,Hawaii,Hawaii,2012,366,0,27,114,221,3,1,322,200,171,0,0,0,358,8,0,"Hawaii, Hawaii",186815,41280,93849,,,42957.0,7786,4998,35853,11596,16519,,,3669.0,2005,1507,19.2,28.1,17.6,,,8.5,25.8,30.2,15,1
146,223,Hawaii,Honolulu,2012,366,335,31,0,0,0,0,75,48,33,0,0,129,2,230,5,"Honolulu, Hawaii",945975,208134,470565,21439.0,,414854.0,31745,17159,97754,31766,42153,2322.0,,29879.0,7999,3905,10.3,15.3,9.0,10.8,,7.2,25.2,22.8,15,3
147,224,Hawaii,Kauai,2012,363,337,25,1,0,0,0,107,47,27,13,6,0,34,310,0,"Kauai, Hawaii",67730,14966,34057,,,24151.0,2614,1607,7449,2484,3618,,,2296.0,407,104,11.0,16.6,10.6,,,9.5,15.6,6.5,15,7
148,225,Hawaii,Maui,2012,349,334,15,0,0,0,0,64,40,25,0,0,0,0,349,0,"Maui, Hawaii",156214,34986,78080,,,42097.0,7011,4042,16165,5387,7706,,,2179.0,1918,998,10.3,15.4,9.9,,,5.2,27.4,24.7,15,9
149,226,Idaho,Ada,2012,366,276,79,9,1,1,0,215,67,39,6,25,215,1,51,68,"Ada, Idaho",401350,103747,200226,,,10146.0,15048,8004,48257,14034,21768,,,1550.0,5455,2981,12.0,13.5,10.9,,,15.3,36.3,37.2,16,1
150,227,Idaho,Bannock,2012,366,231,126,6,3,0,0,172,78,43,0,0,0,142,177,47,"Bannock, Idaho",81335,21787,41015,,2654.0,,3152,1712,12511,3272,5896,,900.0,,917,452,15.4,15.0,14.4,,33.9,,29.1,26.4,16,5
151,231,Idaho,Canyon,2012,349,305,42,0,2,0,0,179,53,17,0,0,0,0,54,295,"Canyon, Idaho",191077,59253,94391,,,,8548,4011,42335,19755,19478,,,,2775,1306,22.2,33.3,20.6,,,,32.5,32.6,16,27
152,240,Idaho,Twin Falls,2012,355,318,34,2,1,0,0,155,51,21,0,0,0,0,355,0,"Twin Falls, Idaho",76996,20963,37442,,,,1799,813,14583,6431,6766,,,,654,357,18.9,30.7,18.1,,,,36.4,43.9,16,83
153,241,Illinois,Adams,2012,364,322,37,4,1,0,0,151,54,35,0,0,364,0,0,0,"Adams, Illinois",65607,14896,32046,2258.0,,,2583,1753,7292,2012,2897,1041.0,,,1015,584,11.1,13.5,9.0,46.1,,,39.3,33.3,17,1
154,242,Illinois,Champaign,2012,366,281,77,8,0,0,0,136,76,39,0,0,332,1,33,0,"Champaign, Illinois",186837,38278,92741,23446.0,,17074.0,5917,2936,39785,9306,18352,10944.0,,5250.0,2447,1181,21.3,24.3,19.8,46.7,,30.7,41.4,40.2,17,19
155,244,Illinois,Cook,2012,366,100,215,40,11,0,0,195,111,60,0,52,102,32,172,8,"Cook, Illinois",5151537,1203204,2497444,1242231.0,12779.0,333993.0,331847,171365,923158,312161,411587,390495.0,1891.0,49355.0,117535,53040,17.9,25.9,16.5,31.4,14.8,14.8,35.4,31.0,17,31
